17,15,94,96,2
10,11,100,92,2
10,18,94,80,3
9,15,95,90,4
6,17,95,86,4
1,8,87,88,4
19,17,96,94,4
19,11,89,89,3
4,8,89,100,4
1,16,95,91,4
15,11,100,93,1
5,15,92,80,1
11,4,96,96,4
15,19,90,95,5
4,4,82,81,1
9,20,91,81,5
20,17,99,86,1
8,6,82,84,3
17,19,84,89,4
11,19,99,81,3
7,9,88,90,3
20,2,88,85,2
7,11,91,87,5
9,12,98,91,1
13,1,82,89,3
7,5,98,93,5
7,11,95,89,4
11,12,100,91,1
1,2,92,85,4
12,12,85,82,1
19,12,84,81,3
11,16,90,94,5
3,16,81,84,1
18,15,97,99,1
16,14,96,86,1
1,6,98,91,1
2,17,97,98,2
6,18,86,95,2
12,14,81,84,2
8,14,100,87,3
6,3,100,84,1
4,20,88,89,4
11,8,91,90,1
14,3,82,83,2
19,9,82,84,1
1,8,82,86,1
20,5,94,93,4
20,1,95,86,4
20,19,96,81,3
7,1,87,80,2
4,4,80,85,1
14,10,97,98,4
15,3,84,92,3
17,4,97,98,5
16,7,94,95,1
14,8,99,82,2
19,1,82,98,1
16,6,81,99,3
20,15,82,99,2
1,8,100,98,1
7,6,99,99,5
5,7,80,95,3
19,18,97,84,4
5,19,96,81,2
18,19,97,87,5
15,7,80,98,3
7,6,81,89,5
15,13,86,92,5
7,16,82,96,5
13,2,97,88,5
13,10,81,95,1
13,6,80,81,1
7,14,89,83,2
12,1,83,96,4
12,1,95,87,4
14,5,100,83,4
17,5,83,87,3
1,5,90,91,4
20,19,93,82,2
14,2,90,83,1
13,3,88,85,3
18,7,94,95,3
15,9,91,90,2
8,14,92,85,5
9,13,92,82,4
19,7,96,87,1
17,6,89,98,1
7,2,87,99,2
20,18,100,88,2
19,13,98,100,5
8,15,94,82,5
5,5,89,86,5
15,14,87,98,2
8,15,96,99,2
9,10,83,85,2
18,20,94,87,1
15,7,89,94,2
18,15,91,86,3
2,7,96,94,4
13,3,93,83,5
5,9,85,96,4
9,19,100,83,2
15,15,81,98,3
15,9,97,86,1
10,17,81,98,2
14,9,97,99,5
14,18,95,95,2
15,5,81,96,4
11,7,90,87,5
13,12,86,98,2
5,20,95,97,2
9,12,83,86,1
9,19,95,93,5
19,15,93,94,5
18,9,81,93,5
16,1,100,88,1
10,17,85,86,3
4,4,83,93,5
16,13,82,99,5
9,6,96,95,4
10,7,86,94,1
17,11,93,95,3
18,12,81,84,3
18,3,96,86,1
13,8,99,94,3
18,14,99,99,5
1,15,80,90,1
6,7,95,88,2
6,17,94,92,4
20,6,83,98,2
15,10,98,98,4
16,2,91,92,4
7,12,80,92,3
15,15,84,91,3
7,1,98,96,1
13,5,87,81,2
1,13,99,82,2
20,14,91,80,2
3,15,85,96,3
10,10,93,98,5
12,4,82,83,1
3,7,97,92,5
20,6,88,89,2
5,1,86,100,1
15,1,86,98,4
10,10,99,97,3
10,7,90,96,1
19,10,94,86,1
16,11,83,88,4
1,3,94,97,1
12,1,83,92,5
18,18,96,86,4
13,20,92,93,1
8,20,88,88,1
7,17,97,99,2
13,13,80,86,2
7,1,89,82,1
15,18,91,86,5
17,8,98,92,5
19,8,80,88,2
5,9,80,90,2
15,8,84,94,2
6,17,85,88,5
12,9,94,87,1
12,2,95,100,2
1,16,95,95,5
12,18,89,90,1
16,18,92,89,5
6,18,97,93,1
17,7,100,98,5
17,19,84,96,1
16,14,93,88,4
19,20,92,92,2
9,4,91,91,5
16,14,91,87,2
6,1,93,93,2
7,2,80,93,5
5,7,83,92,4
6,11,93,92,2
14,9,81,96,5
13,6,89,89,2
14,16,94,92,2
11,15,86,84,5
1,13,90,80,1
20,9,82,80,1
11,13,81,82,2
11,16,87,81,3
9,5,99,99,1
13,18,86,91,3
15,1,86,95,1
6,20,96,82,4
10,5,100,81,3
2,3,90,97,4
16,18,91,98,5
7,7,85,87,1
4,6,100,99,2
13,1,86,80,1
20,6,89,90,1
2,6,92,91,5
8,5,88,99,4
10,5,89,99,3
12,17,85,85,1
1,18,100,96,4
1,20,91,94,2
19,7,90,86,5
20,19,90,99,5
11,3,96,85,2
19,5,90,89,3
20,5,84,85,5
8,11,86,96,2
15,2,83,94,5
18,7,88,99,4
9,17,96,92,5
5,11,91,95,3
5,17,91,90,2
9,16,89,96,3
7,11,83,82,3
10,7,82,88,5
13,15,96,85,4
18,6,100,81,3
19,7,87,95,2
14,17,90,95,4
14,2,95,89,5
6,20,84,82,3
16,2,88,80,4
13,17,80,93,4
5,6,84,93,5
7,9,87,91,4
17,1,84,87,1
20,6,97,83,2
9,18,82,92,4
19,16,84,85,5
17,13,91,99,1
20,20,89,92,5
17,8,91,92,3
16,10,86,82,5
19,18,97,96,5
1,4,93,100,3
14,12,87,95,2
5,6,87,80,2
4,16,86,98,5
12,2,85,92,3
6,4,88,81,3
7,18,92,97,2
8,9,84,88,4
13,20,98,94,1
2,15,88,88,4
17,8,92,88,1
9,4,95,99,4
4,18,93,97,4
2,86,86,96,51
11,89,87,95,45
10,80,87,88,42
11,100,96,81,49
3,96,89,99,52
14,87,85,94,25
1,99,88,86,58
14,93,86,88,43
6,85,100,97,40
13,96,80,82,37
4,88,91,81,60
10,95,80,92,50
19,94,97,90,57
2,85,81,96,58
12,89,83,94,23
5,100,96,98,21
16,86,96,89,35
8,97,94,86,33
7,83,89,82,22
2,83,97,80,55
2,91,89,93,31
13,93,85,95,46
6,81,91,83,39
19,83,98,97,40
14,87,95,95,28
1,98,97,85,43
5,81,99,98,59
9,80,81,81,26
1,83,93,95,38
10,91,87,82,23
6,86,82,80,22
16,100,87,83,23
16,93,90,98,23
19,95,87,86,49
3,85,100,82,20
6,99,85,91,50
4,84,86,92,21
13,91,89,84,35
10,96,99,89,30
6,89,84,90,37
1,87,93,91,56
3,86,87,90,24
11,95,97,99,40
5,87,95,100,31
3,97,91,94,21
4,99,94,80,34
19,97,85,91,22
20,95,93,81,42
18,100,90,82,24
2,86,86,94,53
2,96,100,94,56
2,99,82,87,27
17,94,82,83,53
3,97,100,81,24
4,84,98,82,53
4,83,85,88,42
5,92,100,84,53
5,94,93,87,45
14,81,81,98,56
17,87,92,80,57
17,93,97,81,40
19,81,99,97,32
14,97,92,90,47
14,88,86,82,21
4,88,91,80,53
11,88,83,92,34
19,99,86,95,52
5,89,92,85,48
17,96,98,91,30
20,95,93,94,30
18,100,80,93,55
10,82,84,84,32
4,82,83,83,37
17,85,85,91,51
5,85,95,96,32
15,95,84,100,26
1,96,90,82,37
7,99,84,89,40
20,97,90,84,24
2,82,87,87,38
10,91,87,89,53
17,87,91,86,28
6,92,82,86,40
5,89,81,100,45
7,98,88,97,39
11,91,85,83,23
10,87,94,84,60
2,89,90,100,45
15,88,94,98,37
17,99,88,98,49
3,100,86,80,20
20,94,100,82,21
16,84,88,96,58
3,80,91,91,50
4,98,99,94,41
20,93,81,82,42
10,94,88,97,37
10,95,85,93,44
17,87,80,92,53
13,95,91,87,47
18,91,99,99,50
11,95,96,88,24
19,97,87,99,46
8,90,100,84,53
1,100,80,82,59
18,100,93,100,35
6,87,80,93,45
6,99,100,89,27
17,91,96,99,33
19,91,94,82,33
15,91,99,97,38
11,99,93,81,47
1,80,80,99,29
11,97,100,80,29
1,93,91,84,57
4,84,87,91,51
17,99,96,100,26
9,92,98,81,44
14,91,85,92,44
7,96,92,80,24
6,81,98,100,41
16,91,91,85,29
7,99,81,84,27
8,100,83,91,31
19,97,87,96,35
19,87,98,94,53
15,87,87,85,45
16,93,87,81,38
3,86,92,89,26
11,87,87,100,47
17,100,99,97,44
6,80,90,96,40
3,85,96,89,42
8,93,89,86,54
1,88,91,98,48
8,96,97,98,59
3,94,96,80,58
11,82,96,85,45
5,98,97,89,50
6,97,90,83,32
6,87,98,88,51
18,81,97,89,59
3,87,99,80,33
1,97,84,82,26
15,96,90,84,50
16,99,98,96,25
18,89,91,82,59
16,82,97,98,23
19,81,91,90,29
17,82,83,93,24
8,94,99,85,21
19,99,88,93,28
14,99,85,97,44
11,85,96,99,54
9,82,92,98,34
5,89,82,90,32
12,88,90,86,57
16,89,93,98,50
3,95,88,90,60
2,92,96,92,23
8,85,92,86,34
2,90,99,88,43
8,95,86,97,51
20,92,97,88,24
2,87,94,96,54
5,85,80,97,54
6,83,81,89,50
5,80,85,92,27
8,94,80,87,23
8,82,96,98,30
5,80,81,80,34
9,87,90,87,21
16,90,87,86,42
16,94,97,100,57
8,94,100,98,57
18,85,95,97,31
17,94,82,89,40
8,93,87,86,43
12,91,93,98,46
13,96,86,85,44
20,85,89,86,28
17,83,88,98,39
5,80,88,90,33
8,88,80,85,52
9,95,95,95,45
4,95,93,89,57
2,94,96,84,37
12,94,94,84,20
2,91,91,98,25
4,95,85,87,32
9,98,89,98,23
17,95,84,81,60
20,92,92,100,43
1,80,94,82,38
10,90,100,94,37
6,98,95,82,40
11,95,80,98,44
12,92,87,86,51
5,96,92,97,49
14,98,95,100,34
10,100,87,82,46
4,86,83,82,27
7,88,86,98,46
14,99,93,94,53
13,86,94,98,31
20,89,89,84,42
11,88,83,91,39
9,94,93,81,25
8,95,85,86,27
15,87,88,82,27
8,80,80,98,30
5,95,86,86,51
4,87,100,89,57
13,81,83,94,44
1,87,89,95,21
4,85,95,82,49
5,91,99,99,49
17,81,100,84,48
4,96,88,83,55
3,80,84,95,33
17,94,92,91,25
19,99,87,85,60
19,88,88,88,34
11,88,100,85,39
13,95,85,95,21
3,81,85,92,37
10,90,98,89,23
3,92,94,96,49
4,97,84,84,30
11,86,96,92,27
8,96,96,87,33
17,86,80,92,22
6,86,97,82,38
12,93,95,91,50
9,80,81,89,21
15,93,99,91,23
2,98,81,81,32
20,88,83,99,53
17,87,90,89,26
12,99,90,95,21
1,96,87,94,21
13,92,88,97,52
10,95,97,87,47
2,93,94,93,59
19,84,96,92,59
7,81,94,91,33
7,90,95,100,36
9,93,96,96,58
6,88,85,89,60
20,98,83,97,50
1,95,100,87,41
4,95,89,96,52
1,100,100,83,30
14,86,96,91,43
7,89,85,87,36
8,83,86,100,27
10,89,91,93,45
9,83,86,82,42
8,95,94,90,55
9,88,87,85,42
12,96,98,83,50
1,96,95,95,58
2,91,84,82,51
16,87,83,90,24
9,90,100,100,28
